Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,59.22,37.92,30.52,3,2.41,1.56,0.8,0.8,NA,NA,NA,5,30.95,1.17,26.45,0.52
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,46.44,42.95,32.73,3.46,2.27,1.08,0.76,0.66,NA,NA,NA,5,35.68,1.06,33.66,0.77
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,58.84,39.24,31.97,3.17,2.21,1.5,0.81,0.7,NA,NA,NA,5,28.06,1.08,25.98,0.48
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,59.3,36.43,NA,NA,2.19,1.63,NA,NA,NA,NA,NA,5,30.1,1.19,25.29,0.51
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,61.62,39.84,NA,NA,3.1,1.55,NA,NA,NA,NA,NA,5,33.78,1.95,17.32,0.55
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,64.25,39.32,NA,NA,2.41,1.63,NA,NA,NA,NA,NA,5,26.35,1.08,24.4,0.41
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,64.56,39.08,NA,NA,2.87,1.65,NA,NA,NA,NA,NA,5,30.95,0.97,31.91,0.48
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,64.87,41.41,32.75,2.1,2.38,1.57,0.79,1.13,NA,NA,NA,5,37.21,1.41,26.39,0.57
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,65.03,45.25,34.21,4.51,3.05,1.44,0.76,0.68,NA,NA,NA,5,39.43,0.97,40.65,0.61
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,68.48,42.76,33.4,3.32,2.63,1.6,0.78,0.79,NA,NA,NA,5,34.37,1.21,28.4,0.5
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,72.27,47.54,37.48,2.97,2.25,1.52,0.79,0.76,NA,NA,NA,5,42.41,0.87,48.75,0.59
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,64.97,41.94,33.86,2.84,3.24,1.55,0.81,1.14,NA,NA,NA,5,28.16,1.14,24.7,0.43
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,66.11,42.56,33.16,3.41,3.63,1.55,0.78,1.06,NA,NA,NA,5,29.49,0.87,33.9,0.45
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,63.51,40.51,30.17,2.21,3.21,1.57,0.74,1.45,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,70.57,44.4,NA,NA,3.02,1.59,NA,NA,NA,NA,NA,5,35.9,1.21,29.67,0.51
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,61.14,41.03,34.52,3.6,2.41,1.49,0.84,0.67,NA,NA,NA,5,25.81,1,25.81,0.42
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,69.17,37.92,NA,NA,2.92,1.82,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,66.54,49,34.25,3.1,2.78,1.36,0.7,0.9,NA,NA,NA,5,31.7,1.1,28.82,0.48
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,65.87,43.06,34.06,3.29,3.05,1.53,0.79,0.93,NA,NA,NA,5,30.52,0.89,34.29,0.46
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,63.84,43.71,33.17,2.27,3.44,1.46,0.76,1.52,NA,NA,NA,5,27.75,0.97,28.61,0.43
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,62.52,43.57,31.3,NA,2.63,1.43,0.72,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,66.86,45.63,33.98,2.84,2,1.47,0.74,0.7,NA,NA,NA,5,32.52,1.24,26.23,0.49
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,5,61.97,38.68,31.79,2.51,3.05,1.6,0.82,1.22,NA,NA,NA,5,36.19,0.9,40.21,0.58
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,86.57,59.27,47.74,5.61,3.23,1.46,0.81,0.58,NA,NA,NA,5,43.3,3.99,10.85,0.5
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,82.49,55.46,39.5,5.18,2.96,1.49,0.71,0.57,NA,NA,NA,5,43.61,5.26,8.29,0.53
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,86.02,62.2,44.69,2.41,3.86,1.38,0.72,1.6,NA,NA,NA,5,47.6,3.95,12.05,0.55
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,72.98,53.78,43.19,3.62,3.31,1.36,0.8,0.91,NA,NA,NA,5,45.77,2.94,15.57,0.63
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,81.32,56.7,43.63,5.86,3.18,1.43,0.77,0.54,NA,NA,NA,5,45.03,2.96,15.21,0.55
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,85.76,57.05,46.27,3.86,2.66,1.5,0.81,0.69,NA,NA,NA,5,51.21,1.57,32.62,0.6
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,83.29,57.42,46.97,4.21,3.96,1.45,0.82,0.94,NA,NA,NA,5,45.17,1.2,37.64,0.54
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,81.74,51.62,43.53,4,2.97,1.58,0.84,0.74,NA,NA,NA,5,40.99,1.8,22.77,0.5
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,92,58.01,47.13,5.8,3.02,1.59,0.81,0.52,NA,NA,NA,5,44.92,4.06,11.06,0.49
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,75.71,49.88,35.49,4.74,3.34,1.52,0.71,0.7,NA,NA,NA,5,32.95,1.66,19.85,0.44
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,85.04,55.16,43.3,5.74,4.2,1.54,0.78,0.73,NA,NA,NA,5,44.32,3.41,13,0.52
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,79.26,51.45,42.69,3.32,2.76,1.54,0.83,0.83,NA,NA,NA,5,37.34,1.59,23.48,0.47
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,91.09,47.06,3.27,2.97,3.27,1.94,0.07,1.1,NA,NA,NA,5,45.7,1.46,31.3,0.5
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,79.82,60.15,39.7,5.8,5.38,1.33,0.66,0.93,NA,NA,NA,5,42.88,4.61,9.3,0.54
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,89.96,62.71,43.36,4.24,4.27,1.43,0.69,1.01,NA,NA,NA,5,46.85,4.34,10.79,0.52
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,80.38,54.08,43.96,5.18,3.62,1.49,0.81,0.7,NA,NA,NA,5,42.57,0.97,43.89,0.53
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,74.54,52.4,41.02,5.56,2.82,1.42,0.78,0.51,NA,NA,NA,5,43.4,1.37,31.68,0.58
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,77.01,50.16,36.06,4.51,4.32,1.54,0.72,0.96,NA,NA,NA,5,43.2,1,43.2,0.56
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,81.4,54.19,40.39,4.94,4.29,1.5,0.75,0.87,NA,NA,NA,5,42.42,1.6,26.51,0.52
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,74.34,53.77,38.36,5.91,6.07,1.38,0.71,1.03,NA,NA,NA,5,40.22,1.61,24.98,0.54
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,78.63,51.27,43.16,2.89,2.96,1.53,0.84,1.02,NA,NA,NA,5,41.9,2.48,16.9,0.53
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,79.1,52.91,40.95,3.58,3.62,1.49,0.77,1.01,NA,NA,NA,5,45.01,0.83,54.23,0.57
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,71.63,54.9,42.39,4.1,3.21,1.3,0.77,0.78,NA,NA,NA,5,35.88,0.89,40.31,0.5
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,70.27,52.14,43.84,2.68,3.77,1.35,0.84,1.41,NA,NA,NA,5,39.33,1.1,35.75,0.56
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,70.66,50.93,40.77,3.66,4.1,1.39,0.8,1.12,NA,NA,NA,5,41.44,1.43,28.98,0.59
Reference,Epacris,Epacris longiflora,NA,2,1,3,2,1,66.9,50.94,35.16,4.06,5.07,1.31,0.69,1.25,NA,NA,NA,5,40.99,1.03,39.8,0.61
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,30.23,24.33,15.08,1.79,2.39,1.24,0.62,1.34,NA,NA,NA,5,15.11,0.77,19.62,0.5
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,32.46,25.83,16.43,2.26,2.49,1.26,0.64,1.1,NA,NA,NA,5,16.17,0.69,23.43,0.5
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,32.4,21.29,NA,3.42,2.61,1.52,NA,0.76,NA,NA,NA,5,21.97,0.66,33.29,0.68
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,32.48,29.07,19.41,1.89,2.55,1.12,0.67,1.35,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,37.58,25.6,NA,3.31,3.48,1.47,NA,1.05,NA,NA,NA,5,23.65,0.99,23.89,0.63
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,47.32,31.65,NA,3.48,3.76,1.5,NA,1.08,NA,NA,NA,5,25.35,0.64,39.61,0.54
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,47.66,31.6,NA,NA,2.33,1.51,NA,NA,NA,NA,NA,5,25.56,0.98,26.08,0.54
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,48.93,36.05,NA,3.73,3.96,1.36,NA,1.06,NA,NA,NA,5,25.26,1.02,24.76,0.52
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,40.53,26.32,NA,3.14,3.07,1.54,NA,0.98,NA,NA,NA,5,21.18,0.84,25.21,0.52
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,37.82,29.58,19.37,2.77,2.56,1.28,0.65,0.92,NA,NA,NA,5,20.11,0.62,32.44,0.53
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,38.03,28.09,NA,3.04,3.75,1.35,NA,1.23,NA,NA,NA,5,21.86,0.77,28.39,0.57
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,40.51,30.41,17.84,3.19,3.06,1.33,0.59,0.96,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,38.48,24.22,NA,3.15,2.95,1.59,NA,0.94,NA,NA,NA,5,21.4,0.77,27.79,0.56
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,38.67,30.75,21.73,2.81,2.92,1.26,0.71,1.04,NA,NA,NA,5,21.52,1.31,16.43,0.56
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,37.05,26.09,NA,2.28,2.73,1.42,NA,1.2,NA,NA,NA,5,18.71,0.65,28.78,0.5
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,37.96,30.62,20.8,4.9,3.15,1.24,0.68,0.64,NA,NA,NA,5,25.57,1.77,14.45,0.67
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,34.03,26.84,17.02,3.45,4.03,1.27,0.63,1.17,NA,NA,NA,5,22.16,0.88,25.18,0.65
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,36.54,29.61,18.03,2.77,3.13,1.23,0.61,1.13,NA,NA,NA,5,NA,0.79,NA,NA
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,34.32,28.02,15.87,1.68,2.15,1.22,0.57,1.28,NA,NA,NA,5,NA,0.62,NA,NA
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,35.05,25.45,NA,2.71,2.32,1.38,NA,0.86,NA,NA,NA,5,24.31,0.58,41.91,0.69
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,35.35,26.77,NA,3.31,2.78,1.32,NA,0.84,NA,NA,NA,5,19.96,0.69,28.93,0.56
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,33.28,26.75,16.68,3.05,2.98,1.24,0.62,0.98,NA,NA,NA,5,18.82,0.66,28.52,0.57
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,34.02,25.4,17,3.19,2.27,1.34,0.67,0.71,NA,NA,NA,5,20.9,0.85,24.59,0.61
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,35.15,24.3,NA,2.55,3.23,1.45,NA,1.27,NA,NA,NA,5,21.93,0.65,33.74,0.62
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,30.75,22.12,18.65,2.45,2.2,1.39,0.84,0.9,NA,NA,NA,5,10.53,0.5,21.06,0.34
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,29.93,24.22,15.14,2.33,3.12,1.24,0.63,1.34,NA,NA,NA,5,15.48,0.64,24.19,0.52
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,29.55,24.94,15.75,2.31,2.82,1.18,0.63,1.22,NA,NA,NA,5,16.21,0.94,17.24,0.55
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,29.1,22.93,14.79,1.97,1.5,1.27,0.65,0.76,NA,NA,NA,5,11.7,0.71,16.48,0.4
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,32.6,24.93,17.46,3.18,2.38,1.31,0.7,0.75,NA,NA,NA,5,17.17,0.73,23.52,0.53
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,26.64,22.53,14.14,2.47,2.53,1.18,0.63,1.02,NA,NA,NA,5,13.73,0.69,19.9,0.52
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,26.92,22.46,14.76,2.09,2.78,1.2,0.66,1.33,NA,NA,NA,5,13.85,0.74,18.72,0.51
Reference,Epacris,Epacris microphylla,NA,2,1,3,1,7,29.1,24.99,14.86,2.67,2.63,1.16,0.59,0.99,NA,NA,NA,5,13.71,0.64,21.42,0.47
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,45.42,35.82,24.04,2.89,3.08,1.27,0.67,1.07,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,44.27,34.97,23.23,2.57,3.03,1.27,0.66,1.18,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,48.61,36.62,25.24,2.66,2.68,1.33,0.69,1.01,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,44.83,36.51,24.55,3.34,2.9,1.23,0.67,0.87,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,48.96,36.87,23.37,4.46,2.99,1.33,0.63,0.67,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,42.05,36.71,22.7,3.01,3.54,1.15,0.62,1.18,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,41.29,32.1,21.94,2.97,2.98,1.29,0.68,1,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,41.05,35.41,22.74,3.35,3.31,1.16,0.64,0.99,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,42.83,34.89,22.98,2.32,2.54,1.23,0.66,1.09,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,46.31,34.96,22.85,3.85,2.96,1.32,0.65,0.77,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,49.35,38.29,26.37,3.29,4.03,1.29,0.69,1.22,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,50.38,39.64,26.06,4.99,3.45,1.27,0.66,0.69,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,46.35,36.3,21.65,4.02,4.01,1.28,0.6,1,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,48.92,37.76,25.49,3.89,3.51,1.3,0.68,0.9,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,54.45,41.45,26.97,2.66,3.22,1.31,0.65,1.21,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,55.3,40.35,29.3,3.29,3.38,1.37,0.73,1.03,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,52.56,39.34,26.64,4.55,3.94,1.34,0.68,0.87,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,42.35,34.4,19.88,3.39,2.83,1.23,0.58,0.83,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,53.19,34.17,26.7,3.46,3.31,1.56,0.78,0.96,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,49.91,37.84,28.1,3.32,3.37,1.32,0.74,1.02,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,53.63,39.71,26.64,3.44,2.27,1.35,0.67,0.66,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,55.98,40.71,26.71,3.54,3.71,1.38,0.66,1.05,NA,NA,NA,5,27.58,2.46,11.21,0.49
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,56.17,44.3,27.28,3.41,3.84,1.27,0.62,1.13,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,57.19,45.42,28.42,2.93,3.28,1.26,0.63,1.12,NA,NA,NA,5,37.5,3.6,10.42,0.66
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,50.42,41.01,26.52,2.76,3.2,1.23,0.65,1.16,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,52.51,40.7,27.68,3.29,4.49,1.29,0.68,1.36,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,57.56,36.33,28.3,4.08,3.73,1.58,0.78,0.91,NA,NA,NA,5,35.12,2.37,14.82,0.61
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,54.57,43.87,30.17,3.8,3.55,1.24,0.69,0.93,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,47.04,36.86,24.3,4.49,4.5,1.28,0.66,1,NA,NA,NA,5,21.75,1.97,11.04,0.46
Reference,Epacris,Epacris muelleri,NA,2,1,3,1,2,54.86,41.14,28.6,3.21,3.57,1.33,0.7,1.11,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,63.49,38.57,31.75,2.06,2.7,1.65,0.82,1.31,NA,NA,NA,5,25.87,1.11,23.31,0.41
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,59.68,50.79,28.41,3.65,2.06,1.18,0.56,0.56,NA,NA,NA,5,NA,1.11,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,60.63,45.08,26.83,2.22,2.06,1.34,0.6,0.93,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,54.6,40.16,27.46,1.75,3.33,1.36,0.68,1.9,NA,NA,NA,5,31.9,3.81,8.37,0.58
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,57.62,40.63,34.29,2.38,1.75,1.42,0.84,0.74,NA,NA,NA,5,28.25,NA,NA,0.49
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,52.54,41.59,27.14,2.22,1.9,1.26,0.65,0.86,NA,NA,NA,5,15.56,2.7,5.76,0.3
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,55.71,46.67,29.21,2.06,2.38,1.19,0.63,1.16,NA,NA,NA,5,NA,1.11,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,59.21,50,30.32,2.38,2.38,1.18,0.61,1,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,57.3,47.94,28.73,1.27,NA,1.2,0.6,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,56.67,37.46,26.51,NA,1.11,1.51,0.71,NA,NA,NA,NA,5,27.3,1.9,14.37,0.48
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,56.67,36.98,30.79,1.9,1.9,1.53,0.83,1,NA,NA,NA,5,30,0.95,31.58,0.53
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,59.05,43.33,34.76,1.9,2.38,1.36,0.8,1.25,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,73.97,60.95,36.03,2.22,1.75,1.21,0.59,0.79,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,76.98,45.56,36.35,1.9,1.75,1.69,0.8,0.92,NA,NA,NA,5,37.78,1.75,21.59,0.49
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,74.6,59.05,36.67,4.29,2.06,1.26,0.62,0.48,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,73.81,60,34.92,3.02,2.06,1.23,0.58,0.68,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,67.62,55.71,32.7,2.54,1.75,1.21,0.59,0.69,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,71.75,53.49,33.33,2.86,1.9,1.34,0.62,0.66,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,83.17,68.89,42.06,0.79,1.11,1.21,0.61,1.41,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,78.73,68.1,42.38,1.59,2.06,1.16,0.62,1.3,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,80.32,53.02,40.79,1.11,2.06,1.51,0.77,1.86,NA,NA,NA,5,41.27,4.44,9.3,0.51
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,85.24,70.32,43.33,1.75,1.75,1.21,0.62,1,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,87.62,71.27,40.63,0.95,1.59,1.23,0.57,1.67,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,83.97,67.94,40.32,1.43,2.06,1.24,0.59,1.44,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,78.73,65.87,44.92,1.9,1.75,1.2,0.68,0.92,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,82.38,53.02,43.81,NA,1.75,1.55,0.83,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,83.97,53.02,46.51,2.06,2.06,1.58,0.88,1,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,83.49,55.24,45.71,2.06,2.22,1.51,0.83,1.08,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,71.43,44.76,39.52,2.06,1.43,1.6,0.88,0.69,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,82.22,65.08,45.56,1.9,1.9,1.26,0.7,1,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,81.59,45.08,39.84,1.9,2.7,1.81,0.88,1.42,NA,NA,NA,5,47.78,1.11,43.05,0.59
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,89.68,63.97,42.86,2.54,2.38,1.4,0.67,0.94,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,86.98,64.6,41.75,2.7,1.75,1.35,0.65,0.65,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,69.37,52.22,36.67,1.59,1.9,1.33,0.7,1.19,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,73.81,49.84,37.3,NA,1.27,1.48,0.75,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,80.48,58.1,42.22,NA,1.43,1.39,0.73,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,72.7,48.1,41.27,NA,1.59,1.51,0.86,NA,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,72.54,45.24,33.97,1.75,2.38,1.6,0.75,1.36,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,69.37,36.83,33.33,0.95,2.22,1.88,0.9,2.34,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,69.37,44.29,31.75,1.9,1.59,1.57,0.72,0.84,NA,NA,NA,5,29.21,0.95,30.75,0.42
Reference,Epacris,Epacris obtusifolia,NA,2,1,3,1,2,66.98,56.35,34.92,2.06,1.59,1.19,0.62,0.77,NA,NA,NA,5,NA,NA,NA,NA
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,1,62.56,49.86,33.23,4.32,4.59,1.25,0.67,1.06,NA,NA,NA,5,31.03,1.92,16.16,0.5
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,4,59.65,49.16,31.02,2.6,3.55,1.21,0.63,1.37,NA,NA,NA,5,30.33,1.35,22.47,0.51
Reference,Epacris,Epacris paludosa,NA,2,1,3,1,6,61.11,49.57,31.63,2.82,3.53,1.23,0.64,1.25,NA,NA,NA,5,29.57,1.17,25.27,0.48
