Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Brachyloma,Brachyloma daphnoides,NA,1,NA,3,1,1,NA,NA,37.03,NA,2.8,NA,NA,NA,30.76,1.2,NA,7,29.59,1.33,22.25,NA
Reference,Brachyloma,Brachyloma daphnoides,NA,1,NA,3,1,1,NA,NA,34.58,NA,3.17,NA,NA,NA,28.25,1.22,NA,7,16.97,0.84,20.2,NA
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,37.88,32.8,19.11,3,2.89,1.15,0.58,0.96,NA,NA,NA,5,20.86,0.5,41.72,0.55
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,39.47,28.11,21.68,2.35,2.9,1.4,0.77,1.23,NA,NA,NA,5,21.13,0.84,25.15,0.54
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,39.16,35.43,20.91,2.58,2.82,1.11,0.59,1.09,NA,NA,NA,5,26.29,1.87,14.06,0.67
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,37.94,33.47,22.34,2.72,3.65,1.13,0.67,1.34,NA,NA,NA,5,23.38,0.65,35.97,0.62
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.34,34.95,19.35,2.08,3.41,1.15,0.55,1.64,NA,NA,NA,5,23.07,1.21,19.07,0.57
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,35.46,31.75,19.25,1.81,4,1.12,0.61,2.21,NA,NA,NA,5,19.91,1.42,14.02,0.56
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.47,32.15,20.54,3.87,3.69,1.26,0.64,0.95,NA,NA,NA,5,21.41,0.78,27.45,0.53
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,38.56,33.49,21.18,2.46,3.78,1.15,0.63,1.54,NA,NA,NA,5,29.71,0.85,34.95,0.77
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.41,31.52,21.83,3,4.26,1.28,0.69,1.42,NA,NA,NA,5,21.38,0.65,32.89,0.53
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,37.54,33.32,21.47,2.56,3.87,1.13,0.64,1.51,NA,NA,NA,5,21.47,0.94,22.84,0.57
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.05,32.74,19.88,2.27,3.51,1.22,0.61,1.55,NA,NA,NA,5,22.88,0.66,34.67,0.57
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,37.7,32.04,20.61,2.22,2.73,1.18,0.64,1.23,NA,NA,NA,5,22.72,0.84,27.05,0.6
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,37.71,29.09,20.9,2.82,3.05,1.3,0.72,1.08,NA,NA,NA,5,20.93,1,20.93,0.56
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,37.55,30.23,19.84,3.33,3.75,1.24,0.66,1.13,NA,NA,NA,5,18.57,0.79,23.51,0.49
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.83,33.24,19.71,2.29,3.36,1.23,0.59,1.47,NA,NA,NA,5,25.69,0.72,35.68,0.63
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.45,33.04,20.79,2.91,4.27,1.22,0.63,1.47,NA,NA,NA,5,26.14,1,26.14,0.65
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,39.86,28.97,19.54,2.82,3.58,1.38,0.67,1.27,NA,NA,NA,5,23.65,0.96,24.64,0.59
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,38.41,34.24,19.42,2.56,4.01,1.12,0.57,1.57,NA,NA,NA,5,25.5,0.76,33.55,0.66
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,39.76,32.04,20.26,2.63,3.39,1.24,0.63,1.29,NA,NA,NA,5,17.74,1.34,13.24,0.45
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.02,33.18,20.01,1.94,3.46,1.21,0.6,1.78,NA,NA,NA,5,19.22,0.84,22.88,0.48
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,41.66,32.69,21.24,3.33,2.78,1.27,0.65,0.83,NA,NA,NA,5,24.68,0.7,35.26,0.59
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,41.29,33.52,20.64,2.96,2.86,1.23,0.62,0.97,NA,NA,NA,5,23.34,0.66,35.36,0.57
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,39.64,30.73,19.39,2.15,2.76,1.29,0.63,1.28,NA,NA,NA,5,19.57,0.66,29.65,0.49
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.96,29.65,22.33,2.24,3.41,1.38,0.75,1.52,NA,NA,NA,5,24.49,0.98,24.99,0.6
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,40.88,34.91,22.45,2.68,3.38,1.17,0.64,1.26,NA,NA,NA,5,26.69,0.73,36.56,0.65
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,39.9,32.75,20.1,3.59,3.57,1.22,0.61,0.99,NA,NA,NA,5,22.29,0.75,29.72,0.56
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,41.47,34,20.95,3.75,3.02,1.22,0.62,0.81,NA,NA,NA,5,22.63,0.7,32.33,0.55
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,43.88,34.73,22.31,2.71,3.23,1.26,0.64,1.19,NA,NA,NA,5,26.78,0.64,41.84,0.61
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,43.62,33.47,21.68,2.56,3.11,1.3,0.65,1.21,NA,NA,NA,5,25.69,0.84,30.58,0.59
Reference,Epacris,Epacris coriacea,NA,2,1,3,1,4,42.49,35.35,22.01,2.51,3.66,1.2,0.62,1.46,NA,NA,NA,5,22.44,0.73,30.74,0.53
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.25,26.14,16.69,1.44,2.58,1.31,0.64,1.79,NA,NA,NA,5,15.84,0.59,26.85,0.46
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,30.2,25.15,16.39,1.75,2.78,1.2,0.65,1.59,NA,NA,NA,5,16.24,1.32,12.3,0.54
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,32.6,27.83,16.03,1.64,2.54,1.17,0.58,1.55,NA,NA,NA,5,17.09,0.6,28.48,0.52
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,33.47,28.38,16.85,2.32,2.99,1.18,0.59,1.29,NA,NA,NA,5,18.93,0.61,31.03,0.57
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.51,28.2,18.3,1.91,2.34,1.22,0.65,1.23,NA,NA,NA,5,17.63,0.63,27.98,0.51
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.57,28.44,16.09,1.2,2.7,1.22,0.57,2.25,NA,NA,NA,5,17.34,0.69,25.13,0.5
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,32.64,26.75,17.1,2.31,2.79,1.22,0.64,1.21,NA,NA,NA,5,18.43,0.75,24.57,0.56
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,33.4,28.2,16.17,1.62,2.42,1.18,0.57,1.49,NA,NA,NA,5,18.11,1.2,15.09,0.54
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.15,26.43,17.75,1.37,2.96,1.29,0.67,2.16,NA,NA,NA,5,19.93,0.64,31.14,0.58
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,32.37,25.95,16.71,1.67,3.05,1.25,0.64,1.83,NA,NA,NA,5,18.86,0.6,31.43,0.58
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.41,30,16.52,1.59,3.71,1.15,0.55,2.33,NA,NA,NA,5,18.95,0.66,28.71,0.55
Reference,Epacris,Epacris gunnii,NA,2,1,3,1,4,34.44,29.18,17.07,1.96,2.43,1.18,0.58,1.24,NA,NA,NA,5,17.72,1.27,13.95,0.51
